from,to,fromModule,toModule,Distance
FDEM,AGDEM,Agriculture,Agriculture,0
FEDDEM,AGDEM,Agriculture,Agriculture,0
INDEM,AGDEM,Agriculture,Agriculture,0
FMDEM,AGDEM,Agriculture,Agriculture,0
AGLOSSTRANS,AGDEM,Agriculture,Agriculture,0
AGP,AGDEM,Agriculture,Agriculture,0
AGX,AGDEM,Agriculture,Agriculture,0
AGM,AGDEM,Agriculture,Agriculture,0
fishcatchm,AGFISHCATCH,Agriculture,Agriculture,2
aglossprodm,AGFISHCATCH,Agriculture,Agriculture,5
GDPPCP,AGFISHCATCH,Economy,Agriculture,7
FDEM,AGLOSSCONS,Agriculture,Agriculture,0
aglossconsm,AGLOSSCONS,Agriculture,Agriculture,1
GDPPCP,AGLOSSCONS,Economy,Agriculture,2
AQUACUL,AGLOSSPROD,Agriculture,Agriculture,11
aquaculm,AGLOSSPROD,Agriculture,Agriculture,11
aglossprodm,AGLOSSPROD,Agriculture,Agriculture,8
fishcatchm,AGLOSSPROD,Agriculture,Agriculture,5
aquaculgr,AGLOSSPROD,Agriculture,Agriculture,12
aquaculconv,AGLOSSPROD,Agriculture,Agriculture,12
GDPPCP,AGLOSSPROD,Economy,Agriculture,10
AGFISHCATCH,AGLOSSPROD,Agriculture,Agriculture,242
LVHERD,AGLOSSPROD,Agriculture,Agriculture,4
slr,AGLOSSPROD,Agriculture,Agriculture,4
AGPMILKEGGS,AGLOSSPROD,Agriculture,Agriculture,245
AGP,AGLOSSPROD,Agriculture,Agriculture,247
YL,AGLOSSPROD,Agriculture,Agriculture,3
LD,AGLOSSPROD,Agriculture,Agriculture,3
AGDEM,AGLOSSTRANS,Agriculture,Agriculture,5
FSTOCK,AGLOSSTRANS,Agriculture,Agriculture,7
AGP,AGLOSSTRANS,Agriculture,Agriculture,22
AGX,AGLOSSTRANS,Agriculture,Agriculture,21
AGM,AGLOSSTRANS,Agriculture,Agriculture,21
FDEM,AGLOSSTRANS,Agriculture,Agriculture,0
aglosstransm,AGLOSSTRANS,Agriculture,Agriculture,0
GDPPCP,AGLOSSTRANS,Economy,Agriculture,1
AGX,AGM,Agriculture,Agriculture,17
AGDEM,AGM,Agriculture,Agriculture,4
AGP,AGM,Agriculture,Agriculture,15
FSTOCK,AGM,Agriculture,Agriculture,235
dstl,AGM,Economy,Agriculture,357
elfdpr1,AGM,Agriculture,Agriculture,132
elfdpr2,AGM,Agriculture,Agriculture,132
AGXVALUE,AGMVALUE,Agriculture,Agriculture,5
AGM,AGMVALUE,Agriculture,Agriculture,0
WAP,AGMVALUE,Agriculture,Agriculture,321
AGFISHCATCH,AGP,Agriculture,Agriculture,0
AQUACUL,AGP,Agriculture,Agriculture,0
AGLOSSPROD,AGP,Agriculture,Agriculture,0
LVHERD,AGP,Agriculture,Agriculture,5
slr,AGP,Agriculture,Agriculture,5
AGPMILKEGGS,AGP,Agriculture,Agriculture,246
aglossprodm,AGP,Agriculture,Agriculture,249
YL,AGP,Agriculture,Agriculture,4
LD,AGP,Agriculture,Agriculture,4
aglossprodm,AGPMILKEGGS,Agriculture,Agriculture,3
LVHERD,AGPMILKEGGS,Agriculture,Agriculture,6
slr,AGPMILKEGGS,Agriculture,Agriculture,6
AGP,AGPMILKEGGS,Agriculture,Agriculture,249
AGM,AGX,Agriculture,Agriculture,15
AGDEM,AGX,Agriculture,Agriculture,3
AGP,AGX,Agriculture,Agriculture,14
FSTOCK,AGX,Agriculture,Agriculture,234
dstl,AGX,Economy,Agriculture,356
elfdpr1,AGX,Agriculture,Agriculture,129
elfdpr2,AGX,Agriculture,Agriculture,129
AGMVALUE,AGXVALUE,Agriculture,Agriculture,7
AGX,AGXVALUE,Agriculture,Agriculture,0
WAP,AGXVALUE,Agriculture,Agriculture,322
aiddon,AID,Sociopolitical,Sociopolitical,0
GDP,AID,Economy,Sociopolitical,0
aidrecm,AID,Sociopolitical,Sociopolitical,3
aidgradpoint,AID,Sociopolitical,Sociopolitical,4
GDPPCP,AID,Economy,Sociopolitical,4
AIDREC,AID,Sociopolitical,Sociopolitical,6
aidlpm,aidlp,Sociopolitical,Sociopolitical,0
AIDSDTHS,AIDSDRATE,Demography,Demography,0
POP,AIDSDRATE,Demography,Demography,0
hlmodelsw,AIDSDRATE,Other,Demography,0
I,AIDSDRATE,Economy,Demography,1928
DEATHS,AIDSDRATE,Demography,Demography,1928
